계정코드별,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12
총지수 (2020=100),99.5,99.92,99.88,100.01,100.3,100.33,100.8,101.25,101.54,101.19,100.49,100.0,99.89,99.99,100.34,100.63,100.74,100.46,100.46,100.69,100.75,100.51,100.37,100.65,101.02,100.69,99.8,98.93,98.96,99.47,99.69,100.18,100.38,99.98,100.06,100.84,101.96,102.8,103.89,104.88,105.45,106.01,107.04,107.6,108.0,109.12,109.9,109.88,111.04,111.57,113.27,115.1,115.92,116.57,116.9,116.45,116.53,117.13,116.75,116.27
　　　　　　　　　감자 (2020=100),157.21,171.98,193.32,335.04,185.67,81.89,83.66,128.16,137.64,130.27,136.78,133.08,116.18,96.77,90.05,156.86,129.63,68.07,61.0,59.88,60.01,57.84,67.96,66.65,69.78,69.29,74.11,140.37,141.86,89.36,77.89,104.71,110.09,107.11,113.74,101.68,104.91,107.48,104.34,93.5,85.55,71.17,77.7,101.24,108.43,105.99,116.99,130.09,129.5,130.76,144.07,208.88,187.38,125.11,124.47,134.8,135.43,133.08,143.11,142.26
　　　　　　　　　배추 (2020=100),57.67,74.98,74.51,68.42,53.75,43.91,83.52,159.49,119.88,60.18,56.93,42.26,34.77,28.51,25.61,25.81,31.45,49.14,59.88,73.73,124.05,120.49,75.77,76.87,87.33,81.48,77.63,86.8,115.71,78.13,94.73,171.36,223.59,93.95,50.42,38.88,45.56,69.54,85.25,87.15,66.58,49.04,59.55,87.66,111.22,57.93,88.92,76.7,74.65,76.82,87.61,97.78,107.25,86.48,127.14,167.94,296.85,113.78,62.45,49.97
　　　　　　　　　상추 (2020=100),111.06,85.86,58.34,64.25,67.28,50.48,108.5,178.01,313.35,92.33,48.85,62.1,62.11,50.34,51.85,57.95,66.79,61.4,91.23,175.8,177.44,192.87,89.85,89.76,129.78,51.18,52.78,47.79,61.96,92.48,153.81,265.03,155.53,54.55,49.71,85.42,134.14,83.13,64.27,73.7,84.78,108.5,163.99,209.4,281.33,218.28,86.15,82.38,119.18,74.95,72.81,84.93,75.95,125.84,310.3,280.54,159.59,89.12,55.52,120.67
　　　　　　　　　무 (2020=100),66.82,123.1,131.18,139.52,149.87,90.03,144.59,186.65,177.65,82.79,56.14,53.97,56.5,57.7,53.8,58.27,61.17,64.01,59.3,63.26,90.56,148.1,143.6,187.73,160.76,78.79,64.8,65.65,62.16,87.63,94.28,130.7,189.1,118.76,73.95,73.42,103.91,72.12,64.17,68.06,64.43,72.96,88.82,93.58,76.56,79.88,88.56,81.79,86.54,82.7,81.12,82.33,108.24,121.44,152.42,185.46,247.57,211.61,110.42,87.93
　　　　　　　　　건고추 (2020=100),105.01,104.75,104.5,104.95,104.95,106.14,105.91,107.17,123.13,107.17,105.74,106.4,105.47,104.57,104.79,104.29,104.17,102.85,100.98,92.89,85.11,82.37,82.47,82.59,74.19,73.28,73.47,73.95,74.06,76.34,77.02,99.26,149.44,143.02,143.73,142.22,140.8,140.69,139.98,140.42,140.42,140.6,140.76,119.47,103.47,101.55,101.26,101.59,101.34,99.97,99.88,99.88,99.68,99.47,100.18,100.72,115.59,113.84,110.44,109.02
　　　　　　　　　마늘 (2020=100),142.56,147.21,148.0,148.96,147.63,146.29,134.84,130.05,128.07,130.01,131.64,131.12,128.27,127.77,129.03,128.7,127.27,113.81,96.74,91.68,90.96,90.79,92.23,91.89,89.34,85.67,84.76,84.96,88.45,87.0,101.07,115.65,115.8,115.77,115.77,115.77,138.29,142.58,144.76,147.71,147.44,144.3,163.23,168.12,167.04,166.86,171.19,172.38,172.38,166.9,168.61,173.92,173.98,174.61,177.6,179.71,172.92,169.16,168.87,168.66
　　　　　　　　　파 (2020=100),89.64,107.58,80.55,57.18,70.5,67.42,71.16,100.63,141.28,109.05,90.79,81.26,72.03,68.96,52.83,48.07,65.68,69.45,76.04,84.51,87.07,85.81,81.15,76.93,68.86,55.7,44.74,59.2,79.55,89.53,99.2,151.43,148.83,143.87,146.11,112.98,172.81,246.09,242.12,202.44,137.15,54.2,55.26,73.29,85.15,80.88,89.99,76.12,74.54,73.34,84.55,65.85,78.66,87.37,106.64,118.3,110.63,107.54,107.59,102.29
　　　　　　　　　양파 (2020=100),103.2,98.5,71.98,63.77,64.86,55.84,53.81,60.83,62.42,54.76,54.43,50.47,45.25,45.62,52.84,72.84,51.65,37.58,32.63,41.71,44.03,41.14,49.86,64.91,83.75,99.5,104.25,103.11,89.99,67.3,75.42,97.32,111.32,114.73,123.29,130.03,168.34,188.0,181.94,98.21,58.63,62.69,69.5,85.66,89.45,84.63,90.92,82.89,66.97,55.2,52.09,56.01,69.92,128.66,136.41,140.27,138.39,141.33,141.09,140.1
　　　　　　　　　사과 (2020=100),68.5,75.75,75.43,74.29,71.9,72.58,71.25,71.52,74.77,67.79,70.96,77.54,84.33,70.59,73.67,72.64,73.32,77.51,72.76,59.67,61.42,58.47,59.27,65.58,65.74,65.1,66.77,70.02,100.02,109.54,121.56,148.98,148.98,97.43,93.02,112.84,116.04,124.56,120.38,124.9,127.08,125.39,113.1,86.22,86.22,75.72,66.44,83.95,105.16,88.15,71.89,79.0,72.89,92.39,106.36,106.9,106.9,75.32,69.67,72.01
　　　　　　　　　배 (2020=100),64.99,70.58,67.67,66.84,64.95,65.89,63.85,62.13,86.54,72.05,80.47,88.0,95.99,92.23,95.21,94.37,97.21,107.79,124.47,139.9,70.73,63.25,71.91,76.94,75.44,77.68,82.32,85.05,97.31,99.61,98.82,97.9,120.4,113.04,120.09,132.34,138.79,142.74,145.68,148.76,158.69,164.97,185.59,190.22,85.46,73.94,81.53,92.13,102.49,94.81,93.41,98.8,106.22,126.42,135.72,125.92,81.89,67.71,69.92,70.95
