YYYYMMSOON,가락시장 품목코드(5자리),품목(품종)명,거래단위,등급(특 5% 상 35% 중 40% 하 20%),평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON
201801상순,21100,배추,10키로망대,상,5419.85714285714,5293.33333333333,5242.125,9213.42857142857,6071.72619047619
201801중순,21100,배추,10키로망대,상,5319.33333333333,5419.85714285714,5553.22222222222,9083.77777777777,5938.14351851851
201801하순,21100,배추,10키로망대,상,6734.77777777777,5319.33333333333,5293.33333333333,8292.16666666666,6245.35185185184
201802상순,21100,배추,10키로망대,상,8942.22222222222,6734.77777777777,5419.85714285714,9323.0,6413.72023809523
201802중순,21100,배추,10키로망대,상,7247.16666666666,8942.22222222222,5319.33333333333,9243.25,7099.14682539682
201802하순,21100,배추,10키로망대,상,7890.71428571428,7247.16666666666,6734.77777777777,8866.57142857143,7303.74603174603
201803상순,21100,배추,10키로망대,상,8168.22222222222,7890.71428571428,8942.22222222222,8641.0,7526.08333333333
201803중순,21100,배추,10키로망대,상,7796.625,8168.22222222222,7247.16666666666,8090.375,7194.05092592592
201803하순,21100,배추,10키로망대,상,7996.1,7796.625,7890.71428571428,6777.9,6674.0037037037
201804상순,21100,배추,10키로망대,상,7503.375,7996.1,8168.22222222222,6241.25,6520.00925925926
201804중순,21100,배추,10키로망대,상,7082.22222222222,7503.375,7796.625,5653.55555555555,6365.14814814814
201804하순,21100,배추,10키로망대,상,6637.25,7082.22222222222,7996.1,6812.75,6845.54629629629
201805상순,21100,배추,10키로망대,상,5589.44444444444,6637.25,7503.375,4340.44444444444,5822.19444444444
201805중순,21100,배추,10키로망대,상,4656.75,5589.44444444444,7082.22222222222,3352.88888888888,6993.99074074074
201805하순,21100,배추,10키로망대,상,3770.7,4656.75,6637.25,3292.44444444444,5554.24074074074
201806상순,21100,배추,10키로망대,상,3345.125,3770.7,5589.44444444444,3719.0,4441.91203703703
201806중순,21100,배추,10키로망대,상,4073.44444444444,3345.125,4656.75,3223.125,4604.60185185185
201806하순,21100,배추,10키로망대,상,4684.0,4073.44444444444,3770.7,3405.88888888888,4714.04629629629
201807상순,21100,배추,10키로망대,상,5479.25,4684.0,3345.125,4036.125,5034.54166666666
201807중순,21100,배추,10키로망대,상,7957.0,5479.25,4073.44444444444,8333.0,6220.87962962963
201807하순,21100,배추,10키로망대,상,11236.3333333333,7957.0,4684.0,12592.3333333333,6986.08148148148
201808상순,21100,배추,10키로망대,상,10779.125,11236.3333333333,5479.25,11745.375,8457.11309523809
201808중순,21100,배추,10키로망대,상,16234.625,10779.125,7957.0,14710.25,10555.0324074074
201808하순,21100,배추,10키로망대,상,17582.9,16234.625,11236.3333333333,15073.2,11641.4629629629
201809상순,21100,배추,10키로망대,상,10922.25,17582.9,10779.125,16348.25,11337.4583333333
201809중순,21100,배추,10키로망대,상,9809.88888888888,10922.25,16234.625,14384.5555555555,10195.5343915343
201809하순,21100,배추,10키로망대,상,7212.4,9809.88888888888,17582.9,12888.4444444444,8667.19576719576
201810상순,21100,배추,10키로망대,상,6274.66666666666,7212.4,10922.25,14563.4,7084.73611111111
201810중순,21100,배추,10키로망대,상,5449.11111111111,6274.66666666666,9809.88888888888,4193.44444444444,3897.27314814814
201810하순,21100,배추,10키로망대,상,5499.88888888888,5449.11111111111,7212.4,3432.55555555555,3537.95185185185
201811상순,21100,배추,10키로망대,상,5468.77777777777,5499.88888888888,6274.66666666666,4279.55555555555,3962.22685185185
201811중순,21100,배추,10키로망대,상,4930.875,5468.77777777777,5449.11111111111,5084.75,4969.13888888889
201811하순,21100,배추,10키로망대,상,4795.0,4930.875,5499.88888888888,5434.0,5794.5787037037
201812상순,21100,배추,10키로망대,상,4314.5,4795.0,5468.77777777777,5242.125,4583.59259259259
201812중순,21100,배추,10키로망대,상,3552.77777777777,4314.5,4930.875,5553.22222222222,4408.24537037037
201812하순,21100,배추,10키로망대,상,3268.11111111111,3552.77777777777,4795.0,5293.33333333333,4594.45555555555
201901상순,21100,배추,10키로망대,상,2927.0,3268.11111111111,4314.5,5419.85714285714,4807.20238095238
201901중순,21100,배추,10키로망대,상,2823.0,2927.0,3552.77777777777,5319.33333333333,4683.3287037037
201901하순,21100,배추,10키로망대,상,2783.4,2823.0,3268.11111111111,6734.77777777777,5726.22222222222
201902상순,21100,배추,10키로망대,상,3234.8,2783.4,2927.0,8942.22222222222,6319.66931216931
201902중순,21100,배추,10키로망대,상,2775.11111111111,3234.8,2823.0,7247.16666666666,6433.78571428571
201902하순,21100,배추,10키로망대,상,2484.14285714285,2775.11111111111,2783.4,7890.71428571428,6945.98412698412
201903상순,21100,배추,10키로망대,상,2480.375,2484.14285714285,3234.8,8168.22222222222,7111.61574074074
201903중순,21100,배추,10키로망대,상,2494.77777777777,2480.375,2775.11111111111,7796.625,6897.11111111111
201903하순,21100,배추,10키로망대,상,2483.11111111111,2494.77777777777,2484.14285714285,7996.1,6548.48148148148
201904상순,21100,배추,10키로망대,상,2466.11111111111,2483.11111111111,2480.375,7503.375,6073.61574074074
201904중순,21100,배추,10키로망대,상,2680.55555555555,2466.11111111111,2494.77777777777,7082.22222222222,5890.25925925926
201904하순,21100,배추,10키로망대,상,2643.375,2680.55555555555,2483.11111111111,6637.25,6329.29629629629
201905상순,21100,배추,10키로망대,상,2894.22222222222,2643.375,2466.11111111111,5589.44444444444,5567.04629629629
201905중순,21100,배추,10키로망대,상,3419.875,2894.22222222222,2680.55555555555,4656.75,6253.99074074074
201905하순,21100,배추,10키로망대,상,3744.2,3419.875,2643.375,3770.7,5155.97407407407
201906상순,21100,배추,10키로망대,상,4879.5,3744.2,2894.22222222222,3345.125,4184.0787037037
201906중순,21100,배추,10키로망대,상,5758.33333333333,4879.5,3419.875,4073.44444444444,4236.93518518518
201906하순,21100,배추,10키로망대,상,6127.625,5758.33333333333,3744.2,4684.0,4949.50462962963
201907상순,21100,배추,10키로망대,상,5524.44444444444,6127.625,4879.5,5479.25,5481.99537037037
201907중순,21100,배추,10키로망대,상,6093.66666666666,5524.44444444444,5758.33333333333,7957.0,6928.29629629629
201907하순,21100,배추,10키로망대,상,5911.77777777777,6093.66666666666,6127.625,11236.3333333333,8605.15555555555
201908상순,21100,배추,10키로망대,상,6699.875,5911.77777777777,5524.44444444444,10779.125,9211.15476190476
201908중순,21100,배추,10키로망대,상,6596.75,6699.875,6093.66666666666,16234.625,11988.824074074
201908하순,21100,배추,10키로망대,상,7692.5,6596.75,5911.77777777777,17582.9,13152.6629629629
201909상순,21100,배추,10키로망대,상,11855.25,7692.5,6699.875,10922.25,11664.1666666666
201909중순,21100,배추,10키로망대,상,13132.2857142857,11855.25,6596.75,9809.88888888888,10117.9259259259
201909하순,21100,배추,10키로망대,상,18167.625,13132.2857142857,7692.5,7212.4,8715.94814814814
201910상순,21100,배추,10키로망대,상,16388.2222222222,18167.625,11855.25,6274.66666666666,7458.36574074074
201910중순,21100,배추,10키로망대,상,13267.875,16388.2222222222,13132.2857142857,5449.11111111111,4491.81018518518
201910하순,21100,배추,10키로망대,상,9547.2,13267.875,18167.625,5499.88888888888,4098.91481481481
201911상순,21100,배추,10키로망대,상,8370.125,9547.2,16388.2222222222,5468.77777777777,4455.65277777777
201911중순,21100,배추,10키로망대,상,9176.33333333333,8370.125,13267.875,4930.875,4860.09722222222
201911하순,21100,배추,10키로망대,상,9162.55555555555,9176.33333333333,9547.2,4795.0,5265.54166666666
201912상순,21100,배추,10키로망대,상,8697.375,9162.55555555555,8370.125,4314.5,4390.13425925926
201912중순,21100,배추,10키로망대,상,8600.0,8697.375,9176.33333333333,3552.77777777777,4178.20833333333
201912하순,21100,배추,10키로망대,상,8820.33333333333,8600.0,9162.55555555555,3268.11111111111,4205.38148148148
202001상순,21100,배추,10키로망대,상,9272.71428571428,8820.33333333333,8697.375,2927.0,4321.45238095238
202001중순,21100,배추,10키로망대,상,8701.625,9272.71428571428,8600.0,2823.0,4363.74537037036
202001하순,21100,배추,10키로망대,상,8522.0,8701.625,8820.33333333333,2783.4,5546.91851851851
202002상순,21100,배추,10키로망대,상,8880.875,8522.0,9272.71428571428,3234.8,6176.86574074074
202002중순,21100,배추,10키로망대,상,9089.11111111111,8880.875,8701.625,2775.11111111111,6433.78571428571
202002하순,21100,배추,10키로망대,상,9076.5,9089.11111111111,8522.0,2484.14285714285,6945.98412698412
202003상순,21100,배추,10키로망대,상,8656.625,9076.5,8880.875,2480.375,7111.61574074074
202003중순,21100,배추,10키로망대,상,8288.0,8656.625,9089.11111111111,2494.77777777777,6897.11111111111
202003하순,21100,배추,10키로망대,상,8157.0,8288.0,9076.5,2483.11111111111,6548.48148148148
202004상순,21100,배추,10키로망대,상,7590.0,8157.0,8656.625,2466.11111111111,6073.61574074074
202004중순,21100,배추,10키로망대,상,8503.5,7590.0,8288.0,2680.55555555555,5890.25925925926
202004하순,21100,배추,10키로망대,상,11245.0,8503.5,8157.0,2643.375,6329.29629629629
202005상순,21100,배추,10키로망대,상,10653.75,11245.0,7590.0,2894.22222222222,5567.04629629629
202005중순,21100,배추,10키로망대,상,9588.77777777777,10653.75,8503.5,3419.875,6276.31944444444
202005하순,21100,배추,10키로망대,상,9949.77777777777,9588.77777777777,11245.0,3744.2,5306.55925925925
202006상순,21100,배추,10키로망대,상,7173.11111111111,9949.77777777777,10653.75,4879.5,4695.53703703703
202006중순,21100,배추,10키로망대,상,7488.33333333333,7173.11111111111,9588.77777777777,5758.33333333333,4909.34259259259
202006하순,21100,배추,10키로망대,상,7608.125,7488.33333333333,9949.77777777777,6127.625,5390.17129629629
202007상순,21100,배추,10키로망대,상,7897.44444444444,7608.125,7173.11111111111,5524.44444444444,5678.10648148148
202007중순,21100,배추,10키로망대,상,11235.625,7897.44444444444,7488.33333333333,6093.66666666666,6954.51851851851
202007하순,21100,배추,10키로망대,상,12039.8,11235.625,7608.125,5911.77777777777,8309.14814814814
202008상순,21100,배추,10키로망대,상,12338.7142857142,12039.8,7897.44444444444,6699.875,9260.875
202008중순,21100,배추,10키로망대,상,17104.3333333333,12338.7142857142,11235.625,6596.75,11988.824074074
202008하순,21100,배추,10키로망대,상,18618.4444444444,17104.3333333333,12039.8,7692.5,13449.5333333333
202009상순,21100,배추,10키로망대,상,19789.6666666666,18618.4444444444,12338.7142857142,11855.25,13041.9166666666
202009중순,21100,배추,10키로망대,상,25820.875,19789.6666666666,17104.3333333333,13132.2857142857,12442.2433862433
202009하순,21100,배추,10키로망대,상,24373.4444444444,25820.875,18618.4444444444,18167.625,12756.1564814814
202010상순,21100,배추,10키로망대,상,16984.5,24373.4444444444,19789.6666666666,16388.2222222222,10676.3138888888
202010중순,21100,배추,10키로망대,상,8203.625,16984.5,25820.875,13267.875,5846.66666666666
202010하순,21100,배추,10키로망대,상,6000.2,8203.625,24373.4444444444,9547.2,4952.66666666666
202011상순,21100,배추,10키로망대,상,5757.25,6000.2,16984.5,8370.125,5347.74074074074
202011중순,21100,배추,10키로망대,상,6674.33333333333,5757.25,8203.625,9176.33333333333,6397.31944444444
202011하순,21100,배추,10키로망대,상,5541.625,6674.33333333333,6000.2,9162.55555555555,6510.35648148148
202012상순,21100,배추,10키로망대,상,4002.22222222222,5541.625,5757.25,8697.375,5969.17129629629
202012중순,21100,배추,10키로망대,상,3782.125,4002.22222222222,6674.33333333333,8600.0,5902.0
202012하순,21100,배추,10키로망대,상,3372.8,3782.125,5541.625,8820.33333333333,6056.12222222222
202101상순,21100,배추,10키로망대,상,3315.16666666666,3372.8,4002.22222222222,9272.71428571428,6416.92857142857
202101중순,21100,배추,10키로망대,상,4904.55555555555,3315.16666666666,3782.125,8701.625,6306.5787037037
202101하순,21100,배추,10키로망대,상,5641.33333333333,4904.55555555555,3372.8,8522.0,7278.9074074074
202102상순,21100,배추,10키로망대,상,6297.33333333333,5641.33333333333,3315.16666666666,8880.875,8057.5324074074
202102중순,21100,배추,10키로망대,상,8420.57142857143,6297.33333333333,4904.55555555555,9089.11111111111,8174.87037037037
202102하순,21100,배추,10키로망대,상,8894.33333333333,8420.57142857143,5641.33333333333,9076.5,8573.7619047619
202103상순,21100,배추,10키로망대,상,9310.88888888888,8894.33333333333,6297.33333333333,8656.625,8488.61574074074
202103중순,21100,배추,10키로망대,상,9345.33333333333,9310.88888888888,8420.57142857143,8288.0,8058.33333333333
202103하순,21100,배추,10키로망대,상,9392.55555555555,9345.33333333333,8894.33333333333,8157.0,7643.66666666666
202104상순,21100,배추,10키로망대,상,9566.33333333333,9392.55555555555,9310.88888888888,7590.0,7111.54166666666
202104중순,21100,배추,10키로망대,상,9217.75,9566.33333333333,9345.33333333333,8503.5,7079.75925925926
202104하순,21100,배추,10키로망대,상,8996.77777777777,9217.75,9392.55555555555,11245.0,8231.66666666666
202105상순,21100,배추,10키로망대,상,6507.125,8996.77777777777,9566.33333333333,10653.75,6861.21296296296
202105중순,21100,배추,10키로망대,상,4590.88888888888,6507.125,9217.75,9588.77777777777,5888.46759259259
202105하순,21100,배추,10키로망대,상,5712.77777777777,4590.88888888888,8996.77777777777,9949.77777777777,5306.55925925925
202106상순,21100,배추,10키로망대,상,6225.66666666666,5712.77777777777,6507.125,7173.11111111111,4695.53703703703
202106중순,21100,배추,10키로망대,상,5418.375,6225.66666666666,4590.88888888888,7488.33333333333,4909.34259259259
202106하순,21100,배추,10키로망대,상,5138.0,5418.375,5712.77777777777,7608.125,5390.17129629629
202107상순,21100,배추,10키로망대,상,4671.66666666666,5138.0,6225.66666666666,7897.44444444444,5678.10648148148
202107중순,21100,배추,10키로망대,상,4782.25,4671.66666666666,5418.375,11235.625,7700.96296296296
202107하순,21100,배추,10키로망대,상,6819.3,4782.25,5138.0,12039.8,10351.8222222222
202108상순,21100,배추,10키로망대,상,10284.2857142857,6819.3,4671.66666666666,12338.7142857142,10942.7083333333
202108중순,21100,배추,10키로망대,상,8024.77777777777,10284.2857142857,4782.25,17104.3333333333,15009.0694444444
202108하순,21100,배추,10키로망대,상,9006.77777777777,8024.77777777777,6819.3,18618.4444444444,17091.5148148148
202109상순,21100,배추,10키로망대,상,11554.3333333333,9006.77777777777,10284.2857142857,19789.6666666666,15997.7222222222
202109중순,21100,배추,10키로망대,상,13765.2857142857,11554.3333333333,8024.77777777777,25820.875,15039.6804232804
202109하순,21100,배추,10키로망대,상,9141.5,13765.2857142857,9006.77777777777,24373.4444444444,16509.6898148148
202110상순,21100,배추,10키로망대,상,6351.25,9141.5,11554.3333333333,16984.5,14047.499074074
202110중순,21100,배추,10키로망대,상,4705.66666666666,6351.25,13765.2857142857,8203.625,7183.39351851851
202110하순,21100,배추,10키로망대,상,6465.66666666666,4705.66666666666,9141.5,6000.2,5808.54814814814
202111상순,21100,배추,10키로망대,상,9495.0,6465.66666666666,6351.25,5757.25,5840.30555555555
202111중순,21100,배추,10키로망대,상,10626.8888888888,9495.0,4705.66666666666,6674.33333333333,6978.47222222222
202111하순,21100,배추,10키로망대,상,9273.25,10626.8888888888,6465.66666666666,5541.625,6501.68981481481
202112상순,21100,배추,10키로망대,상,8281.77777777777,9273.25,9495.0,4002.22222222222,5969.17129629629
202112중순,21100,배추,10키로망대,상,7667.375,8281.77777777777,10626.8888888888,3782.125,5978.44907407407
202112하순,21100,배추,10키로망대,상,7763.2,7667.375,9273.25,3372.8,5828.82222222222
202201상순,21100,배추,10키로망대,상,7795.57142857142,7763.2,8281.77777777777,3315.16666666666,5982.81746031745
202201중순,21100,배추,10키로망대,상,7691.55555555555,7795.57142857142,7667.375,4904.55555555555,6308.50462962962
202201하순,21100,배추,10키로망대,상,7684.75,7691.55555555555,7763.2,5641.33333333333,6889.42592592592
202202상순,21100,배추,10키로망대,상,8355.0,7684.75,7795.57142857142,6297.33333333333,8040.14351851851
202202중순,21100,배추,10키로망대,상,8383.75,8355.0,7691.55555555555,8420.57142857143,8252.28306878307
202202하순,21100,배추,10키로망대,상,8567.14285714285,8383.75,7684.75,8894.33333333333,8550.53968253968
202203상순,21100,배추,10키로망대,상,8614.77777777777,8567.14285714285,8355.0,9310.88888888888,8488.61574074073
202203중순,21100,배추,10키로망대,상,9176.25,8614.77777777777,8383.75,9345.33333333333,8058.33333333333
202203하순,21100,배추,10키로망대,상,9703.9,9176.25,8567.14285714285,9392.55555555555,7643.66666666666
202204상순,21100,배추,10키로망대,상,10315.125,9703.9,8614.77777777777,9566.33333333333,7111.54166666666
202204중순,21100,배추,10키로망대,상,10429.4444444444,10315.125,9176.25,9217.75,7079.75925925926
202204하순,21100,배추,10키로망대,상,10479.7777777777,10429.4444444444,9703.9,8996.77777777777,7482.25925925926
202205상순,21100,배추,10키로망대,상,9817.875,10479.7777777777,10315.125,6507.125,5479.00462962963
202205중순,21100,배추,10키로망대,상,8768.22222222222,9817.875,10429.4444444444,4590.88888888888,4222.50462962962
202205하순,21100,배추,10키로망대,상,7693.66666666666,8768.22222222222,10479.7777777777,5712.77777777777,4409.22592592592
202206상순,21100,배추,10키로망대,상,8901.55555555555,7693.66666666666,9817.875,6225.66666666666,4941.38888888888
202206중순,21100,배추,10키로망대,상,8013.0,8901.55555555555,8768.22222222222,5418.375,5083.38425925925
202206하순,21100,배추,10키로망대,상,9065.0,8013.0,7693.66666666666,5138.0,5316.54166666666
202207상순,21100,배추,10키로망대,상,9905.125,9065.0,8901.55555555555,4671.66666666666,5225.12037037036
202207중순,21100,배추,10키로망대,상,14769.1111111111,9905.125,8013.0,4782.25,7461.22222222222
202207하순,21100,배추,10키로망대,상,17330.1111111111,14769.1111111111,9065.0,6819.3,10031.8111111111
202208상순,21100,배추,10키로망대,상,14042.4444444444,17330.1111111111,9905.125,10284.2857142857,10936.2619047619
202208중순,21100,배추,10키로망대,상,13403.1111111111,14042.4444444444,14769.1111111111,8024.77777777777,12989.8842592592
202208하순,21100,배추,10키로망대,상,16495.6666666666,13403.1111111111,17330.1111111111,9006.77777777777,13887.6259259259
202209상순,21100,배추,10키로망대,상,21026.625,16495.6666666666,14042.4444444444,11554.3333333333,13252.6111111111
202209중순,21100,배추,10키로망대,상,27456.1428571428,21026.625,13403.1111111111,13765.2857142857,13760.7089947089
202209하순,21100,배추,10키로망대,상,21651.0,27456.1428571428,16495.6666666666,9141.5,13399.1898148148
202210상순,21100,배추,10키로망대,상,17092.5,21651.0,21026.625,6351.25,12434.2907407407
202210중순,21100,배추,10키로망대,상,9403.77777777777,17092.5,27456.1428571428,4705.66666666666,6119.46759259259
202210하순,21100,배추,10키로망대,상,7601.11111111111,9403.77777777777,21651.0,6465.66666666666,5988.58518518518
202211상순,21100,배추,10키로망대,상,5895.22222222222,7601.11111111111,17092.5,9495.0,6532.05092592592
202211중순,21100,배추,10키로망대,상,5806.25,5895.22222222222,9403.77777777777,10626.8888888888,6978.47222222222
202211하순,21100,배추,10키로망대,상,5000.77777777777,5806.25,7601.11111111111,9273.25,6712.72685185185
202212상순,21100,배추,10키로망대,상,4451.88888888888,5000.77777777777,5895.22222222222,8281.77777777777,5946.13425925925
202212중순,21100,배추,10키로망대,상,4487.875,4451.88888888888,5806.25,7667.375,5667.57407407407
202212하순,21100,배추,10키로망대,상,4715.9,4487.875,5000.77777777777,7763.2,5476.44444444444
201801상순,23100,무,20키로상자,상,9283.57142857143,0.0,0.0,0.0,0.0
201801중순,23100,무,20키로상자,상,9259.88888888888,9283.57142857143,0.0,0.0,0.0
201801하순,23100,무,20키로상자,상,10576.1111111111,9259.88888888888,0.0,0.0,0.0
201802상순,23100,무,20키로상자,상,18371.4444444444,10576.1111111111,9283.57142857143,0.0,0.0
201802중순,23100,무,20키로상자,상,19545.6666666666,18371.4444444444,9259.88888888888,0.0,0.0
201802하순,23100,무,20키로상자,상,19226.0,19545.6666666666,10576.1111111111,0.0,0.0
201803상순,23100,무,20키로상자,상,23856.3333333333,19226.0,18371.4444444444,0.0,0.0
201803중순,23100,무,20키로상자,상,19215.125,23856.3333333333,19545.6666666666,0.0,0.0
201803하순,23100,무,20키로상자,상,19303.6,19215.125,19226.0,0.0,0.0
201804상순,23100,무,20키로상자,상,18610.875,19303.6,23856.3333333333,0.0,0.0
201804중순,23100,무,20키로상자,상,20006.8888888888,18610.875,19215.125,0.0,0.0
201804하순,23100,무,20키로상자,상,23676.5,20006.8888888888,19303.6,0.0,0.0
201805상순,23100,무,20키로상자,상,25173.6666666666,23676.5,18610.875,0.0,0.0
201805중순,23100,무,20키로상자,상,22677.75,25173.6666666666,20006.8888888888,0.0,0.0
201805하순,23100,무,20키로상자,상,13201.0,22677.75,23676.5,0.0,0.0
201806상순,23100,무,20키로상자,상,13106.125,13201.0,25173.6666666666,0.0,0.0
201806중순,23100,무,20키로상자,상,10809.1111111111,13106.125,22677.75,0.0,0.0
201806하순,23100,무,20키로상자,상,11432.2222222222,10809.1111111111,13201.0,0.0,0.0
201807상순,23100,무,20키로상자,상,11280.125,11432.2222222222,13106.125,0.0,0.0
201807중순,23100,무,20키로상자,상,14501.3333333333,11280.125,10809.1111111111,0.0,0.0
201807하순,23100,무,20키로상자,상,20878.8888888888,14501.3333333333,11432.2222222222,0.0,0.0
201808상순,23100,무,20키로상자,상,23968.5,20878.8888888888,11280.125,0.0,0.0
201808중순,23100,무,20키로상자,상,20641.625,23968.5,14501.3333333333,0.0,0.0
201808하순,23100,무,20키로상자,상,27820.6,20641.625,20878.8888888888,0.0,0.0
201809상순,23100,무,20키로상자,상,22825.625,27820.6,23968.5,0.0,0.0
201809중순,23100,무,20키로상자,상,21872.5555555555,22825.625,20641.625,0.0,0.0
201809하순,23100,무,20키로상자,상,21683.0,21872.5555555555,27820.6,0.0,0.0
201810상순,23100,무,20키로상자,상,15611.2222222222,21683.0,22825.625,0.0,0.0
201810중순,23100,무,20키로상자,상,12331.8888888888,15611.2222222222,21872.5555555555,0.0,0.0
201810하순,23100,무,20키로상자,상,8466.33333333333,12331.8888888888,21683.0,0.0,0.0
201811상순,23100,무,20키로상자,상,6862.44444444444,8466.33333333333,15611.2222222222,0.0,0.0
201811중순,23100,무,20키로상자,상,5770.25,6862.44444444444,12331.8888888888,0.0,0.0
201811하순,23100,무,20키로상자,상,5724.44444444444,5770.25,8466.33333333333,0.0,0.0
201812상순,23100,무,20키로상자,상,7230.5,5724.44444444444,6862.44444444444,0.0,0.0
201812중순,23100,무,20키로상자,상,7808.55555555555,7230.5,5770.25,0.0,0.0
201812하순,23100,무,20키로상자,상,7535.22222222222,7808.55555555555,5724.44444444444,0.0,0.0
201901상순,23100,무,20키로상자,상,7729.42857142857,7535.22222222222,7230.5,9283.57142857143,0.0
201901중순,23100,무,20키로상자,상,6801.375,7729.42857142857,7808.55555555555,9259.88888888888,0.0
201901하순,23100,무,20키로상자,상,7740.7,6801.375,7535.22222222222,10576.1111111111,0.0
201902상순,23100,무,20키로상자,상,7894.8,7740.7,7729.42857142857,18371.4444444444,0.0
201902중순,23100,무,20키로상자,상,8620.33333333333,7894.8,6801.375,19545.6666666666,0.0
201902하순,23100,무,20키로상자,상,8432.57142857143,8620.33333333333,7740.7,19226.0,0.0
201903상순,23100,무,20키로상자,상,7993.875,8432.57142857143,7894.8,23856.3333333333,0.0
201903중순,23100,무,20키로상자,상,7646.0,7993.875,8620.33333333333,19215.125,0.0
201903하순,23100,무,20키로상자,상,6669.55555555555,7646.0,8432.57142857143,19303.6,0.0
201904상순,23100,무,20키로상자,상,7174.22222222222,6669.55555555555,7993.875,18610.875,0.0
201904중순,23100,무,20키로상자,상,8150.77777777777,7174.22222222222,7646.0,20006.8888888888,0.0
